f1,f2,f3,f4,f5,Class
75.8441,0,905.0006,67.1443,3.83E+11,Resampled
75.537,0,905.0006,66.9379,5.16E+11,Resampled
92.1865,0,905.0006,67.0949,2.19E+12,Resampled
74.85,0,905.0006,67.7435,1.26E+12,Resampled
70.1179,0,905.0006,58.064,2.46E+11,Resampled
107.359,0,905.0006,70.6206,5.57E+11,Resampled
58.888,0,905.0006,62.7586,5.19E+11,Resampled
82.28,0,905.0006,70.6468,6.89E+11,Resampled
95.8787,0,905.0006,66.8114,8.09E+11,Resampled
93.2734,0,905.0006,69.498,9.13E+11,Resampled
57.2189,0,905.0006,63.2982,4.57E+11,Resampled
64.5455,0,905.0006,63.1906,3.12E+11,Resampled
105.4269,0,905.0006,70.1909,6.59E+11,Resampled
90.4378,0,905.0006,67.5025,9.30E+11,Resampled
94.9455,0,905.0006,70.8221,3.20E+11,Resampled
60.0969,0,905.0006,63.6149,6.66E+11,Resampled
93.0542,0,905.0006,70.8894,5.94E+11,Resampled
88.2016,0,905.0006,70.7469,5.60E+11,Resampled
46.4414,0,905.0006,61.37,4.80E+11,Resampled
95.1441,0,905.0006,70.7033,2.29E+11,Resampled
49.936,0,905.0006,50.6926,3.16E+11,Resampled
33.0327,0,905.0006,65.0125,2.81E+11,Non
34.3983,0,905.0006,65.449,2.92E+11,Non
45.0098,0,905.0006,64.2848,2.28E+11,Non
32.9065,0,905.0006,69.5004,1.58E+11,Non
33.1614,0,905.0006,53.8289,2.12E+11,Non
52.5711,0,905.0006,72.4132,2.11E+11,Non
25.8751,0,905.0006,64.9374,1.56E+11,Non
41.6279,0,905.0006,72.2388,1.12E+11,Non
40.058,0,905.0006,71.9424,1.72E+11,Non
48.5543,0,905.0006,61.9587,1.86E+11,Non
43.0725,0,905.0006,71.2446,9.33E+11,Non
24.133,0,905.0006,63.2527,1.23E+11,Non
28.7729,0,905.0006,60.2307,2.76E+11,Non
52.9675,0,905.0006,70.6917,1.44E+11,Non
41.9871,0,905.0006,67.169,8.04E+10,Non
46.8594,0,905.0006,70.657,7.85E+10,Non
28.6608,0,905.0006,61.1238,1.11E+11,Non
44.1217,0,905.0006,72.4016,7.33E+10,Non
19.803,0,905.0006,63.4718,6.86E+10,Non
49.364,0,905.0006,72.9985,1.11E+11,Non
43.9827,0,905.0006,27.7391,1.98E+10,Non
